1652169600,150801,99
1652169600,250401,76
1652169600,021601,33
1652169600,250101,27
1652169600,240201,51
1652169600,050801, 4
1652169600,051001,97
1652169600,100201,17
1652169600,021001,12
1652169600,050401,22
1652169600,050201,30
1652169600,090101,10
1652169600,060701,32
1652169600,190101,56
1652169600,081201,52
1652169600,250401,18
1652169600,170101,35
1652169600,020601,44
1652169600,240101,21
1652169600,090201, 5
1652169600,120301,99
1652169600,190101,33
1652169600,100701,20
1652169600,220301,56
1652169600,110301,79
1652169600,040701,19
1652169600,150901,25
1652169600,021801,38
1652169600,060401,11
1652169600,080401,15
1652169600,210701, 3
1652169600,110201,18
1652169600,150801,26
1652169600,240301,23
1652169600,151001,39
1652169600,010101,29
1652169600,080901, 6
1652169600,210301, 7
1652169600,110201,12
1652169600,030601, 3
1652169600,021101,19
1652169600,022001,19
1652169600,250301, 4
1652169600,020801, 4
1652169600,130701,23
1652169600,210601, 6
1652169600,180201, 8
1652169600,050401, 3
1652169600,021801,14
1652169600,010701,10
